month,icd10_chapter,admissions
2019-11,Chapter-II,1531
2019-12,Chapter-II,1539
2020-01,Chapter-II,1591
2020-02,Chapter-II,1621
2020-03,Chapter-II,1375
2020-04,Chapter-II,1378
2020-05,Chapter-II,1388
2020-06,Chapter-II,1634
2020-07,Chapter-II,1632
2020-08,Chapter-II,1633
2020-09,Chapter-II,1592
2020-10,Chapter-II,1552
2020-11,Chapter-II,1523
2020-12,Chapter-II,1559
2021-01,Chapter-II,1581
2021-02,Chapter-II,1612
2021-03,Chapter-II,1632
2021-04,Chapter-II,1646
2021-05,Chapter-II,1660
2021-06,Chapter-II,1637
2021-07,Chapter-II,1602
2021-08,Chapter-II,1556
2021-09,Chapter-II,1514
2021-10,Chapter-II,1512
2021-11,Chapter-II,1531
2021-12,Chapter-II,1586
2022-01,Chapter-II,1612
2022-02,Chapter-II,1652
2022-03,Chapter-II,1657
2022-04,Chapter-II,1646
2022-05,Chapter-II,1629
2022-06,Chapter-II,1605
2022-07,Chapter-II,1617
2022-08,Chapter-II,1568
2022-09,Chapter-II,1559
2022-10,Chapter-II,1533
2022-11,Chapter-II,1558
2022-12,Chapter-II,1582
2023-01,Chapter-II,1605
2023-02,Chapter-II,1632
2023-03,Chapter-II,1643
2023-04,Chapter-II,1662
2023-05,Chapter-II,1646
2023-06,Chapter-II,1608
2023-07,Chapter-II,1568
2023-08,Chapter-II,1553
2023-09,Chapter-II,1562
2023-10,Chapter-II,1551
2023-11,Chapter-II,1553
2023-12,Chapter-II,1577
2024-01,Chapter-II,1624
2024-02,Chapter-II,1648
2024-03,Chapter-II,1656
2024-04,Chapter-II,1679
2024-05,Chapter-II,1670
2024-06,Chapter-II,1664
2024-07,Chapter-II,1623
2024-08,Chapter-II,1565
2024-09,Chapter-II,1525
2024-10,Chapter-II,1551
2024-11,Chapter-II,1580
2024-12,Chapter-II,1587
2017-01,Chapter-III,1594
2017-02,Chapter-III,1648
2017-03,Chapter-III,1646
2017-04,Chapter-III,1643
2017-05,Chapter-III,1652
2017-06,Chapter-III,1624
2017-07,Chapter-III,1596
2017-08,Chapter-III,1565
2017-09,Chapter-III,1550
2017-10,Chapter-III,1562
2017-11,Chapter-III,1563
2017-12,Chapter-III,1589
2018-01,Chapter-III,1580
2018-02,Chapter-III,1617
2018-03,Chapter-III,1632
2018-04,Chapter-III,1630
2018-05,Chapter-III,1621
2018-06,Chapter-III,1606
2018-07,Chapter-III,1599
2018-08,Chapter-III,1550
2018-09,Chapter-III,1536
2018-10,Chapter-III,1526
2018-11,Chapter-III,1535
2018-12,Chapter-III,1577
2019-01,Chapter-III,1612
2019-02,Chapter-III,1657
2019-03,Chapter-III,1666
2019-04,Chapter-III,1658
2019-05,Chapter-III,1647
2019-06,Chapter-III,1631
2019-07,Chapter-III,1603
2019-08,Chapter-III,1556
2019-09,Chapter-III,1541
2019-10,Chapter-III,1539
2019-11,Chapter-III,1585
2019-12,Chapter-III,1620
2020-01,Chapter-III,1617
2020-02,Chapter-III,1636
2020-03,Chapter-III,1384
2020-04,Chapter-III,1390
2020-05,Chapter-III,1395
2020-06,Chapter-III,1644
2020-07,Chapter-III,1597
2020-08,Chapter-III,1559
2020-09,Chapter-III,1509
2020-10,Chapter-III,1514
2020-11,Chapter-III,1517
2020-12,Chapter-III,1543
2021-01,Chapter-III,1571
2021-02,Chapter-III,1611
2021-03,Chapter-III,1614
2021-04,Chapter-III,1615
2021-05,Chapter-III,1657
2021-06,Chapter-III,1614
2021-07,Chapter-III,1574
2021-08,Chapter-III,1582
2021-09,Chapter-III,1599
2021-10,Chapter-III,1553
2021-11,Chapter-III,1550
2021-12,Chapter-III,1576
2022-01,Chapter-III,1630
2022-02,Chapter-III,1633
2022-03,Chapter-III,1650
2022-04,Chapter-III,1671
2022-05,Chapter-III,1665
2022-06,Chapter-III,1632
2022-07,Chapter-III,1599
2022-08,Chapter-III,1549
2022-09,Chapter-III,1532
2022-10,Chapter-III,1526
2022-11,Chapter-III,1543
2022-12,Chapter-III,1559
2023-01,Chapter-III,1600
2023-02,Chapter-III,1645
2023-03,Chapter-III,1664
2023-04,Chapter-III,1672
2023-05,Chapter-III,1660
2023-06,Chapter-III,1635
2023-07,Chapter-III,1592
2023-08,Chapter-III,1570
2023-09,Chapter-III,1547
2023-10,Chapter-III,1571
2023-11,Chapter-III,1590
2023-12,Chapter-III,1601
2024-01,Chapter-III,1607
2024-02,Chapter-III,1618
2024-03,Chapter-III,1662
2024-04,Chapter-III,1670
2024-05,Chapter-III,1665
2024-06,Chapter-III,1612
2024-07,Chapter-III,1603
2024-08,Chapter-III,1579
2024-09,Chapter-III,1537
2024-10,Chapter-III,1526
2024-11,Chapter-III,1544
2024-12,Chapter-III,1568
2017-01,Chapter-IV,1596
2017-02,Chapter-IV,1626
2017-03,Chapter-IV,1646
2017-04,Chapter-IV,1659
2017-05,Chapter-IV,1673
2017-06,Chapter-IV,1604
2017-07,Chapter-IV,1581
2017-08,Chapter-IV,1561
2017-09,Chapter-IV,1547
2017-10,Chapter-IV,1534
2017-11,Chapter-IV,1518
2017-12,Chapter-IV,1557
2018-01,Chapter-IV,1618
2018-02,Chapter-IV,1618
2018-03,Chapter-IV,1658
2018-04,Chapter-IV,1658
2018-05,Chapter-IV,1650
2018-06,Chapter-IV,1613
2018-07,Chapter-IV,1585
2018-08,Chapter-IV,1580
2018-09,Chapter-IV,1563
2018-10,Chapter-IV,1575
2018-11,Chapter-IV,1587
2018-12,Chapter-IV,1600
2019-01,Chapter-IV,1644
2019-02,Chapter-IV,1663
2019-03,Chapter-IV,1684
2019-04,Chapter-IV,1675
2019-05,Chapter-IV,1662
2019-06,Chapter-IV,1625
2019-07,Chapter-IV,1612
2019-08,Chapter-IV,1560
2019-09,Chapter-IV,1554
2019-10,Chapter-IV,1540
2019-11,Chapter-IV,1566
2019-12,Chapter-IV,1592
2020-01,Chapter-IV,1640
2020-02,Chapter-IV,1665
2020-03,Chapter-IV,1400
2020-04,Chapter-IV,1408
2020-05,Chapter-IV,1383
2020-06,Chapter-IV,1611
2020-07,Chapter-IV,1611
2020-08,Chapter-IV,1586
2020-09,Chapter-IV,1547
2020-10,Chapter-IV,1524
2020-11,Chapter-IV,1539
2020-12,Chapter-IV,1546
2021-01,Chapter-IV,1576
2021-02,Chapter-IV,1620
2021-03,Chapter-IV,1663
2021-04,Chapter-IV,1676
2021-05,Chapter-IV,1627
2021-06,Chapter-IV,1620
2021-07,Chapter-IV,1595
2021-08,Chapter-IV,1573
2021-09,Chapter-IV,1574
2021-10,Chapter-IV,1525
2021-11,Chapter-IV,1530
2021-12,Chapter-IV,1568
2022-01,Chapter-IV,1575
2022-02,Chapter-IV,1637
2022-03,Chapter-IV,1662
2022-04,Chapter-IV,1679
2022-05,Chapter-IV,1655
2022-06,Chapter-IV,1644
2022-07,Chapter-IV,1624
2022-08,Chapter-IV,1588
2022-09,Chapter-IV,1562
2022-10,Chapter-IV,1553
2022-11,Chapter-IV,1543
2022-12,Chapter-IV,1565
2023-01,Chapter-IV,1594
2023-02,Chapter-IV,1632
2023-03,Chapter-IV,1668
2023-04,Chapter-IV,1654
2023-05,Chapter-IV,1646
2023-06,Chapter-IV,1649
2023-07,Chapter-IV,1600
2023-08,Chapter-IV,1558
2023-09,Chapter-IV,1544
2023-10,Chapter-IV,1550
2023-11,Chapter-IV,1554
2023-12,Chapter-IV,1594
2024-01,Chapter-IV,1627
2024-02,Chapter-IV,1659
2024-03,Chapter-IV,1678
2024-04,Chapter-IV,1710
2024-05,Chapter-IV,1679
2024-06,Chapter-IV,1616
2024-07,Chapter-IV,1616
2024-08,Chapter-IV,1573
2024-09,Chapter-IV,1551
2024-10,Chapter-IV,1562
2024-11,Chapter-IV,1537
2024-12,Chapter-IV,1545
2017-01,Chapter-V,2876
2017-02,Chapter-V,3034
2017-03,Chapter-V,3168
2017-04,Chapter-V,3222
2017-05,Chapter-V,3183
2017-06,Chapter-V,3042
2017-07,Chapter-V,2855
2017-08,Chapter-V,2714
2017-09,Chapter-V,2600
2017-10,Chapter-V,2573
2017-11,Chapter-V,2629
2017-12,Chapter-V,2746
2018-01,Chapter-V,2915
2018-02,Chapter-V,3072
2018-03,Chapter-V,3193
2018-04,Chapter-V,3219
2018-05,Chapter-V,3174
2018-06,Chapter-V,3061
2018-07,Chapter-V,2913
2018-08,Chapter-V,2742
2018-09,Chapter-V,2632
2018-10,Chapter-V,2581
2018-11,Chapter-V,2622
2018-12,Chapter-V,2752
2019-01,Chapter-V,2877
2019-02,Chapter-V,3027
2019-03,Chapter-V,3135
2019-04,Chapter-V,3160
2019-05,Chapter-V,3131
2019-06,Chapter-V,3043
2019-07,Chapter-V,2886
2019-08,Chapter-V,2734
2019-09,Chapter-V,2636
2019-10,Chapter-V,2608
2019-11,Chapter-V,2638
2019-12,Chapter-V,2770
2020-01,Chapter-V,2919
2020-02,Chapter-V,3059
2020-03,Chapter-V,2918
2020-04,Chapter-V,2942
2020-05,Chapter-V,2897
2020-06,Chapter-V,3037
2020-07,Chapter-V,2898
2020-08,Chapter-V,2765
2020-09,Chapter-V,2617
2020-10,Chapter-V,2582
2020-11,Chapter-V,2609
2020-12,Chapter-V,2739
2021-01,Chapter-V,2897
2021-02,Chapter-V,3031
2021-03,Chapter-V,3174
2021-04,Chapter-V,3209
2021-05,Chapter-V,3162
2021-06,Chapter-V,3035
2021-07,Chapter-V,2875
2021-08,Chapter-V,2732
2021-09,Chapter-V,2615
2021-10,Chapter-V,2580
2021-11,Chapter-V,2628
2021-12,Chapter-V,2763
2022-01,Chapter-V,2909
2022-02,Chapter-V,3043
2022-03,Chapter-V,3183
2022-04,Chapter-V,3219
2022-05,Chapter-V,3193
2022-06,Chapter-V,3075
2022-07,Chapter-V,2907
2022-08,Chapter-V,2750
2022-09,Chapter-V,2658
2022-10,Chapter-V,2632
2022-11,Chapter-V,2655
2022-12,Chapter-V,2762
2023-01,Chapter-V,2929
2023-02,Chapter-V,3065
2023-03,Chapter-V,3185
2023-04,Chapter-V,3224
2023-05,Chapter-V,3184
2023-06,Chapter-V,3052
2023-07,Chapter-V,2871
2023-08,Chapter-V,2692
2023-09,Chapter-V,2577
2023-10,Chapter-V,2546
2023-11,Chapter-V,2598
2023-12,Chapter-V,2754
2024-01,Chapter-V,2925
2024-02,Chapter-V,3061
2024-03,Chapter-V,3183
2024-04,Chapter-V,3217
2024-05,Chapter-V,3171
2024-06,Chapter-V,3059
2024-07,Chapter-V,2909
2024-08,Chapter-V,2740
2024-09,Chapter-V,2639
2024-10,Chapter-V,2573
2024-11,Chapter-V,2618
2024-12,Chapter-V,2776
