chr	start	end	methylation_pct	coverage	sample_id	condition
chr22	16276000	16276002	63.7	38	E003_brain	fetal_brain
chr22	16278000	16278002	58.6	55	E003_brain	fetal_brain
chr22	16280000	16280002	84.7	63	E003_brain	fetal_brain
chr22	16282000	16282002	85.8	45	E003_brain	fetal_brain
chr22	16284000	16284002	100	6	E003_brain	fetal_brain
chr22	16286000	16286002	54.8	63	E003_brain	fetal_brain
chr22	16288000	16288002	56.0	17	E003_brain	fetal_brain
chr22	16290000	16290002	56.7	14	E003_brain	fetal_brain
chr22	16292000	16292002	52.7	21	E003_brain	fetal_brain
chr22	16294000	16294002	65.8	49	E003_brain	fetal_brain
chr22	16296000	16296002	92.6	52	E003_brain	fetal_brain
chr22	16298000	16298002	49.0	41	E003_brain	fetal_brain
chr22	16300000	16300002	85.6	43	E003_brain	fetal_brain
chr22	16302000	16302002	93.8	72	E003_brain	fetal_brain
chr22	16304000	16304002	97.6	43	E003_brain	fetal_brain
chr22	16306000	16306002	71.4	18	E003_brain	fetal_brain
chr22	16308000	16308002	77.5	19	E003_brain	fetal_brain
chr22	16310000	16310002	67.0	18	E003_brain	fetal_brain
chr22	16312000	16312002	69.6	41	E003_brain	fetal_brain
chr22	16314000	16314002	61.3	31	E003_brain	fetal_brain
chr22	16316000	16316002	68.0	38	E003_brain	fetal_brain
chr22	16318000	16318002	60.1	69	E003_brain	fetal_brain
chr22	16320000	16320002	37.5	11	E003_brain	fetal_brain
chr22	16322000	16322002	72.3	16	E003_brain	fetal_brain
chr22	16324000	16324002	51.3	10	E003_brain	fetal_brain
chr22	16326000	16326002	48.9	5	E003_brain	fetal_brain
chr22	16328000	16328002	66.0	38	E003_brain	fetal_brain
chr22	16330000	16330002	76.9	25	E003_brain	fetal_brain
chr22	16332000	16332002	69.0	59	E003_brain	fetal_brain
chr22	16334000	16334002	51.0	76	E003_brain	fetal_brain
chr22	16336000	16336002	75.9	24	E003_brain	fetal_brain
chr22	16338000	16338002	70.4	74	E003_brain	fetal_brain
chr22	16340000	16340002	84.0	75	E003_brain	fetal_brain
chr22	16342000	16342002	73.2	23	E003_brain	fetal_brain
chr22	16344000	16344002	66.0	51	E003_brain	fetal_brain
chr22	16346000	16346002	71.9	10	E003_brain	fetal_brain
chr22	16348000	16348002	78.3	36	E003_brain	fetal_brain
chr22	16350000	16350002	63.9	18	E003_brain	fetal_brain
chr22	16352000	16352002	58.3	57	E003_brain	fetal_brain
chr22	16354000	16354002	85.3	24	E003_brain	fetal_brain
chr22	16356000	16356002	79.8	25	E003_brain	fetal_brain
chr22	16358000	16358002	65.0	27	E003_brain	fetal_brain
chr22	16360000	16360002	72.5	47	E003_brain	fetal_brain
chr22	16362000	16362002	67.7	57	E003_brain	fetal_brain
chr22	16364000	16364002	79.7	36	E003_brain	fetal_brain
chr22	16366000	16366002	41.6	39	E003_brain	fetal_brain
chr22	16368000	16368002	82.6	53	E003_brain	fetal_brain
chr22	16370000	16370002	89.6	9	E003_brain	fetal_brain
chr22	16372000	16372002	76.7	63	E003_brain	fetal_brain
chr22	16374000	16374002	61.7	49	E003_brain	fetal_brain
chr22	16376000	16376002	60.9	34	E003_brain	fetal_brain
chr22	16378000	16378002	95.1	33	E003_brain	fetal_brain
chr22	16380000	16380002	79.7	47	E003_brain	fetal_brain
chr22	16382000	16382002	71.5	40	E003_brain	fetal_brain
chr22	16384000	16384002	95.8	40	E003_brain	fetal_brain
chr22	16386000	16386002	40.5	49	E003_brain	fetal_brain
chr22	16388000	16388002	60.4	73	E003_brain	fetal_brain
chr22	16390000	16390002	58.2	47	E003_brain	fetal_brain
chr22	16392000	16392002	76.9	38	E003_brain	fetal_brain
chr22	16394000	16394002	67.2	27	E003_brain	fetal_brain
chr22	16396000	16396002	32.4	9	E003_brain	fetal_brain
chr22	16398000	16398002	49.1	18	E003_brain	fetal_brain
chr22	16400000	16400002	58.7	45	E003_brain	fetal_brain
chr22	16402000	16402002	62.1	60	E003_brain	fetal_brain
chr22	16404000	16404002	55.9	54	E003_brain	fetal_brain
chr22	16406000	16406002	58.9	78	E003_brain	fetal_brain
chr22	16408000	16408002	71.7	60	E003_brain	fetal_brain
chr22	16410000	16410002	74.2	5	E003_brain	fetal_brain
chr22	16412000	16412002	43.0	30	E003_brain	fetal_brain
chr22	16414000	16414002	66.6	51	E003_brain	fetal_brain
chr22	16416000	16416002	36.8	47	E003_brain	fetal_brain
chr22	16418000	16418002	85.3	45	E003_brain	fetal_brain
chr22	16420000	16420002	66.0	43	E003_brain	fetal_brain
chr22	16422000	16422002	63.4	69	E003_brain	fetal_brain
chr22	16424000	16424002	64.4	56	E003_brain	fetal_brain
chr22	16426000	16426002	84.3	42	E003_brain	fetal_brain
chr22	16428000	16428002	60.8	53	E003_brain	fetal_brain
chr22	16430000	16430002	66.7	27	E003_brain	fetal_brain
chr22	16432000	16432002	60.5	75	E003_brain	fetal_brain
chr22	16434000	16434002	61.6	5	E003_brain	fetal_brain
chr22	16436000	16436002	66.6	79	E003_brain	fetal_brain
chr22	16438000	16438002	79.7	46	E003_brain	fetal_brain
chr22	16440000	16440002	54.2	32	E003_brain	fetal_brain
chr22	16442000	16442002	73.5	70	E003_brain	fetal_brain
chr22	16444000	16444002	38.2	26	E003_brain	fetal_brain
chr22	16446000	16446002	75.4	15	E003_brain	fetal_brain
chr22	16448000	16448002	65.3	47	E003_brain	fetal_brain
chr22	16450000	16450002	91.7	16	E003_brain	fetal_brain
chr22	16452000	16452002	80.4	44	E003_brain	fetal_brain
chr22	16454000	16454002	47.3	33	E003_brain	fetal_brain
chr22	16456000	16456002	72.9	10	E003_brain	fetal_brain
chr22	16458000	16458002	62.1	36	E003_brain	fetal_brain
chr22	16460000	16460002	90.5	14	E003_brain	fetal_brain
chr22	16462000	16462002	67.9	63	E003_brain	fetal_brain
chr22	16464000	16464002	51.8	29	E003_brain	fetal_brain
chr22	16466000	16466002	80.8	54	E003_brain	fetal_brain
chr22	16468000	16468002	58.8	5	E003_brain	fetal_brain
chr22	16470000	16470002	70.4	18	E003_brain	fetal_brain
chr22	16472000	16472002	71.9	71	E003_brain	fetal_brain
chr22	16474000	16474002	59.6	64	E003_brain	fetal_brain
chr22	16476000	16476002	80.8	20	E003_brain	fetal_brain
chr22	16478000	16478002	73.5	63	E003_brain	fetal_brain
chr22	16480000	16480002	81.2	72	E003_brain	fetal_brain
chr22	16482000	16482002	82.5	76	E003_brain	fetal_brain
chr22	16484000	16484002	39.7	61	E003_brain	fetal_brain
chr22	16486000	16486002	49.3	69	E003_brain	fetal_brain
chr22	16488000	16488002	40.7	62	E003_brain	fetal_brain
chr22	16490000	16490002	84.5	25	E003_brain	fetal_brain
chr22	16492000	16492002	69.3	38	E003_brain	fetal_brain
chr22	16494000	16494002	53.0	36	E003_brain	fetal_brain
chr22	16496000	16496002	76.5	71	E003_brain	fetal_brain
chr22	16498000	16498002	59.8	67	E003_brain	fetal_brain
chr22	16500000	16500002	61.6	14	E003_brain	fetal_brain
chr22	16502000	16502002	61.4	41	E003_brain	fetal_brain
chr22	16504000	16504002	71.3	74	E003_brain	fetal_brain
chr22	16506000	16506002	83.5	15	E003_brain	fetal_brain
chr22	16508000	16508002	77.0	24	E003_brain	fetal_brain
chr22	16510000	16510002	78.3	32	E003_brain	fetal_brain
chr22	16512000	16512002	84.1	74	E003_brain	fetal_brain
chr22	16514000	16514002	76.0	64	E003_brain	fetal_brain
chr22	16516000	16516002	61.2	58	E003_brain	fetal_brain
chr22	16518000	16518002	75.2	54	E003_brain	fetal_brain
chr22	16520000	16520002	86.4	7	E003_brain	fetal_brain
chr22	16522000	16522002	58.8	78	E003_brain	fetal_brain
chr22	16524000	16524002	68.8	50	E003_brain	fetal_brain
chr22	16526000	16526002	71.1	43	E003_brain	fetal_brain
chr22	16528000	16528002	70.6	58	E003_brain	fetal_brain
chr22	16530000	16530002	40.6	73	E003_brain	fetal_brain
chr22	16532000	16532002	69.7	33	E003_brain	fetal_brain
chr22	16534000	16534002	51.1	67	E003_brain	fetal_brain
chr22	16536000	16536002	73.1	8	E003_brain	fetal_brain
chr22	16538000	16538002	85.8	54	E003_brain	fetal_brain
chr22	16540000	16540002	58.3	56	E003_brain	fetal_brain
chr22	16542000	16542002	89.4	26	E003_brain	fetal_brain
chr22	16544000	16544002	88.1	73	E003_brain	fetal_brain
chr22	16546000	16546002	41.6	8	E003_brain	fetal_brain
chr22	16548000	16548002	86.7	8	E003_brain	fetal_brain
chr22	16550000	16550002	58.9	15	E003_brain	fetal_brain
chr22	16552000	16552002	64.9	64	E003_brain	fetal_brain
chr22	16554000	16554002	63.7	28	E003_brain	fetal_brain
chr22	16556000	16556002	83.9	32	E003_brain	fetal_brain
chr22	16558000	16558002	74.6	63	E003_brain	fetal_brain
chr22	16560000	16560002	58.2	53	E003_brain	fetal_brain
chr22	16562000	16562002	92.5	40	E003_brain	fetal_brain
chr22	16564000	16564002	70.4	37	E003_brain	fetal_brain
chr22	16566000	16566002	41.7	15	E003_brain	fetal_brain
chr22	16568000	16568002	45.5	11	E003_brain	fetal_brain
chr22	16570000	16570002	74.6	49	E003_brain	fetal_brain
chr22	16572000	16572002	70.9	10	E003_brain	fetal_brain
chr22	16574000	16574002	75.6	8	E003_brain	fetal_brain
chr22	16576000	16576002	79.5	7	E003_brain	fetal_brain
chr22	16578000	16578002	66.9	24	E003_brain	fetal_brain
chr22	16580000	16580002	71.2	19	E003_brain	fetal_brain
chr22	16582000	16582002	86.9	77	E003_brain	fetal_brain
chr22	16584000	16584002	85.9	37	E003_brain	fetal_brain
chr22	16586000	16586002	64.6	52	E003_brain	fetal_brain
chr22	16588000	16588002	80.1	19	E003_brain	fetal_brain
chr22	16590000	16590002	87.8	25	E003_brain	fetal_brain
chr22	16592000	16592002	77.0	8	E003_brain	fetal_brain
chr22	16594000	16594002	68.4	44	E003_brain	fetal_brain
chr22	16596000	16596002	40.9	53	E003_brain	fetal_brain
chr22	16598000	16598002	55.0	55	E003_brain	fetal_brain
chr22	16600000	16600002	79.3	80	E003_brain	fetal_brain
chr22	16602000	16602002	66.4	36	E003_brain	fetal_brain
chr22	16604000	16604002	90.7	20	E003_brain	fetal_brain
chr22	16606000	16606002	85.4	77	E003_brain	fetal_brain
chr22	16608000	16608002	72.8	59	E003_brain	fetal_brain
chr22	16610000	16610002	56.4	52	E003_brain	fetal_brain
chr22	16612000	16612002	89.7	6	E003_brain	fetal_brain
chr22	16614000	16614002	79.1	58	E003_brain	fetal_brain
chr22	16616000	16616002	73.1	51	E003_brain	fetal_brain
chr22	16618000	16618002	63.6	63	E003_brain	fetal_brain
chr22	16620000	16620002	65.7	71	E003_brain	fetal_brain
chr22	16622000	16622002	54.5	39	E003_brain	fetal_brain
chr22	16624000	16624002	44.9	66	E003_brain	fetal_brain
chr22	16626000	16626002	47.6	64	E003_brain	fetal_brain
chr22	16628000	16628002	47.7	39	E003_brain	fetal_brain
chr22	16630000	16630002	79.6	46	E003_brain	fetal_brain
chr22	16632000	16632002	86.9	16	E003_brain	fetal_brain
chr22	16634000	16634002	47.3	40	E003_brain	fetal_brain
chr22	16636000	16636002	78.3	64	E003_brain	fetal_brain
chr22	16638000	16638002	62.4	77	E003_brain	fetal_brain
chr22	16640000	16640002	58.7	8	E003_brain	fetal_brain
chr22	16642000	16642002	60.6	68	E003_brain	fetal_brain
chr22	16644000	16644002	75.6	32	E003_brain	fetal_brain
chr22	16646000	16646002	62.3	50	E003_brain	fetal_brain
chr22	16648000	16648002	74.1	40	E003_brain	fetal_brain
chr22	16650000	16650002	56.9	76	E003_brain	fetal_brain
chr22	16652000	16652002	100	15	E003_brain	fetal_brain
chr22	16654000	16654002	72.3	35	E003_brain	fetal_brain
chr22	16656000	16656002	66.8	35	E003_brain	fetal_brain
chr22	16658000	16658002	52.9	65	E003_brain	fetal_brain
chr22	16660000	16660002	59.4	7	E003_brain	fetal_brain
chr22	16662000	16662002	56.2	16	E003_brain	fetal_brain
chr22	16664000	16664002	65.8	36	E003_brain	fetal_brain
chr22	16666000	16666002	84.7	44	E003_brain	fetal_brain
chr22	16668000	16668002	62.6	75	E003_brain	fetal_brain
chr22	16670000	16670002	57.7	72	E003_brain	fetal_brain
chr22	16672000	16672002	41.9	75	E003_brain	fetal_brain
chr22	16674000	16674002	100	47	E003_brain	fetal_brain
chr22	16676000	16676002	60.2	44	E003_brain	fetal_brain
chr22	16678000	16678002	83.2	37	E003_brain	fetal_brain
chr22	16680000	16680002	72.9	45	E003_brain	fetal_brain
chr22	16682000	16682002	93.8	20	E003_brain	fetal_brain
chr22	16684000	16684002	68.4	28	E003_brain	fetal_brain
chr22	16686000	16686002	33.2	29	E003_brain	fetal_brain
chr22	16688000	16688002	73.6	80	E003_brain	fetal_brain
chr22	16690000	16690002	86.9	72	E003_brain	fetal_brain
chr22	16692000	16692002	35.5	29	E003_brain	fetal_brain
chr22	16694000	16694002	45.9	42	E003_brain	fetal_brain
chr22	16696000	16696002	71.3	6	E003_brain	fetal_brain
chr22	16698000	16698002	79.3	73	E003_brain	fetal_brain
chr22	16700000	16700002	73.2	11	E003_brain	fetal_brain
chr22	16702000	16702002	73.3	75	E003_brain	fetal_brain
chr22	16704000	16704002	60.6	67	E003_brain	fetal_brain
chr22	16706000	16706002	100	18	E003_brain	fetal_brain
chr22	16708000	16708002	83.7	65	E003_brain	fetal_brain
chr22	16710000	16710002	55.9	66	E003_brain	fetal_brain
chr22	16712000	16712002	61.1	11	E003_brain	fetal_brain
chr22	16714000	16714002	73.5	37	E003_brain	fetal_brain
chr22	16716000	16716002	85.9	13	E003_brain	fetal_brain
chr22	16718000	16718002	63.8	56	E003_brain	fetal_brain
chr22	16720000	16720002	50.3	11	E003_brain	fetal_brain
chr22	16722000	16722002	71.0	24	E003_brain	fetal_brain
chr22	16724000	16724002	81.4	43	E003_brain	fetal_brain
chr22	16726000	16726002	85.6	15	E003_brain	fetal_brain
chr22	16728000	16728002	77.5	58	E003_brain	fetal_brain
chr22	16730000	16730002	69.7	33	E003_brain	fetal_brain
chr22	16732000	16732002	72.4	61	E003_brain	fetal_brain
chr22	16734000	16734002	55.5	43	E003_brain	fetal_brain
chr22	16736000	16736002	99.1	44	E003_brain	fetal_brain
chr22	16738000	16738002	34.9	77	E003_brain	fetal_brain
chr22	16740000	16740002	55.1	17	E003_brain	fetal_brain
chr22	16742000	16742002	55.8	31	E003_brain	fetal_brain
chr22	16744000	16744002	61.7	15	E003_brain	fetal_brain
chr22	16746000	16746002	61.7	25	E003_brain	fetal_brain
chr22	16748000	16748002	71.2	25	E003_brain	fetal_brain
chr22	16750000	16750002	89.0	5	E003_brain	fetal_brain
chr22	16752000	16752002	50.7	65	E003_brain	fetal_brain
chr22	16754000	16754002	82.5	42	E003_brain	fetal_brain
chr22	16756000	16756002	82.1	41	E003_brain	fetal_brain
chr22	16758000	16758002	72.5	63	E003_brain	fetal_brain
chr22	16760000	16760002	79.9	38	E003_brain	fetal_brain
chr22	16762000	16762002	74.7	80	E003_brain	fetal_brain
chr22	16764000	16764002	51.5	59	E003_brain	fetal_brain
chr22	16766000	16766002	40.4	19	E003_brain	fetal_brain
chr22	16768000	16768002	49.2	39	E003_brain	fetal_brain
chr22	16770000	16770002	64.0	23	E003_brain	fetal_brain
chr22	16772000	16772002	78.1	44	E003_brain	fetal_brain
chr22	16774000	16774002	73.9	77	E003_brain	fetal_brain
chr22	16776000	16776002	84.2	64	E003_brain	fetal_brain
chr22	16778000	16778002	62.3	43	E003_brain	fetal_brain
chr22	16780000	16780002	58.9	69	E003_brain	fetal_brain
chr22	16782000	16782002	35.9	74	E003_brain	fetal_brain
chr22	16784000	16784002	63.9	10	E003_brain	fetal_brain
chr22	16786000	16786002	70.2	60	E003_brain	fetal_brain
chr22	16788000	16788002	68.0	8	E003_brain	fetal_brain
chr22	16790000	16790002	49.7	16	E003_brain	fetal_brain
chr22	16792000	16792002	73.0	78	E003_brain	fetal_brain
chr22	16794000	16794002	92.3	80	E003_brain	fetal_brain
chr22	16796000	16796002	100	39	E003_brain	fetal_brain
chr22	16798000	16798002	52.0	78	E003_brain	fetal_brain
chr22	16800000	16800002	94.4	65	E003_brain	fetal_brain
chr22	16802000	16802002	76.3	71	E003_brain	fetal_brain
chr22	16804000	16804002	50.6	28	E003_brain	fetal_brain
chr22	16806000	16806002	42.8	79	E003_brain	fetal_brain
chr22	16808000	16808002	44.7	16	E003_brain	fetal_brain
chr22	16810000	16810002	80.8	65	E003_brain	fetal_brain
chr22	16812000	16812002	62.2	18	E003_brain	fetal_brain
chr22	16814000	16814002	81.0	25	E003_brain	fetal_brain
chr22	16816000	16816002	58.9	41	E003_brain	fetal_brain
chr22	16818000	16818002	90.2	56	E003_brain	fetal_brain
chr22	16820000	16820002	77.4	63	E003_brain	fetal_brain
chr22	16822000	16822002	52.5	16	E003_brain	fetal_brain
chr22	16824000	16824002	64.8	56	E003_brain	fetal_brain
chr22	16826000	16826002	82.2	70	E003_brain	fetal_brain
chr22	16828000	16828002	70.3	74	E003_brain	fetal_brain
chr22	16830000	16830002	69.4	64	E003_brain	fetal_brain
chr22	16832000	16832002	61.7	51	E003_brain	fetal_brain
chr22	16834000	16834002	75.0	68	E003_brain	fetal_brain
chr22	16836000	16836002	52.1	31	E003_brain	fetal_brain
chr22	16838000	16838002	52.0	39	E003_brain	fetal_brain
chr22	16840000	16840002	37.3	61	E003_brain	fetal_brain
chr22	16842000	16842002	59.5	67	E003_brain	fetal_brain
chr22	16844000	16844002	99.2	35	E003_brain	fetal_brain
chr22	16846000	16846002	97.9	25	E003_brain	fetal_brain
chr22	16848000	16848002	69.1	57	E003_brain	fetal_brain
chr22	16850000	16850002	72.3	16	E003_brain	fetal_brain
chr22	16852000	16852002	74.6	19	E003_brain	fetal_brain
chr22	16854000	16854002	98.4	64	E003_brain	fetal_brain
chr22	16856000	16856002	90.5	24	E003_brain	fetal_brain
chr22	16858000	16858002	62.9	68	E003_brain	fetal_brain
chr22	16860000	16860002	81.4	39	E003_brain	fetal_brain
chr22	16862000	16862002	64.9	58	E003_brain	fetal_brain
chr22	16864000	16864002	91.3	36	E003_brain	fetal_brain
chr22	16866000	16866002	33.8	63	E003_brain	fetal_brain
chr22	16868000	16868002	56.0	70	E003_brain	fetal_brain
chr22	16870000	16870002	65.3	22	E003_brain	fetal_brain
chr22	16872000	16872002	77.9	58	E003_brain	fetal_brain
chr22	16874000	16874002	60.9	48	E003_brain	fetal_brain
chr22	16876000	16876002	86.4	5	E003_brain	fetal_brain
chr22	16878000	16878002	62.8	41	E003_brain	fetal_brain
chr22	16880000	16880002	65.7	79	E003_brain	fetal_brain
chr22	16882000	16882002	41.7	67	E003_brain	fetal_brain
chr22	16884000	16884002	80.8	66	E003_brain	fetal_brain
chr22	16886000	16886002	57.8	49	E003_brain	fetal_brain
chr22	16888000	16888002	57.4	53	E003_brain	fetal_brain
chr22	16890000	16890002	92.1	63	E003_brain	fetal_brain
chr22	16892000	16892002	97.6	35	E003_brain	fetal_brain
chr22	16894000	16894002	57.6	78	E003_brain	fetal_brain
chr22	16896000	16896002	48.1	57	E003_brain	fetal_brain
chr22	16898000	16898002	89.8	10	E003_brain	fetal_brain
